time_step,hour,request_x,request_y,assigned_driver,wait_time,surge_multiplier,cancel_probability,cancelled,revenue,fairness_penalty,reward
0,6,9.507404463642235,11.265511439527673,39,1.9526730259159124,1.0,0.09763365129579563,False,50.0,0.0,46.09465394816817
1,14,15.111022770860973,4.575963309832449,9,2.1515271471806683,1.0423943069790935,0.10757635735903343,True,52.11971534895468,0.0,-30.0
2,18,3.2244257450800884,18.59395304685146,5,0.1881753979322436,1.5501448331524805,0.009408769896612181,False,77.50724165762402,0.0,77.13089086175954
3,11,3.7314011777207168,17.851179969799556,5,0.8992974665227887,1.1158186652932027,0.04496487332613944,False,55.79093326466014,0.1,53.89233833161456
4,22,17.921825998469863,6.3600694994372775,34,1.3978855690270027,1.0,0.06989427845135014,False,50.0,0.0,47.20422886194599
5,19,7.051377126683381,6.09562516316058,13,2.9910183867426414,1.5,0.14955091933713208,False,75.0,0.0,69.01796322651472
6,8,9.696599427179663,13.848720657805407,41,0.4647852830816676,1.5,0.02323926415408338,False,75.0,0.0,74.07042943383667
7,23,14.060379177903556,7.27259204758588,9,0.7726249466108686,1.0,0.03863124733054343,False,50.0,0.0,48.45475010677826
8,19,4.937521256772024,13.926085456795768,36,1.3330655861758876,1.5,0.06665327930879437,False,75.0,0.0,72.33386882764823
9,16,19.532299116653057,8.220740266364626,34,2.460837127338724,1.0457415648719142,0.12304185636693621,True,52.28707824359571,0.1,-30.0
10,0,12.687026894027277,13.614109031095335,20,1.8852720699260008,1.0,0.09426360349630004,False,50.0,0.0,46.229455860148
11,22,13.442710948117572,15.23239230657435,20,1.786028876950604,1.1480328561172164,0.0893014438475302,False,57.40164280586082,0.1,53.72958505195961
12,5,7.355662654385064,12.646116611871589,24,2.31106004040211,1.058685709380027,0.1155530020201055,True,52.93428546900135,0.0,-30.0
13,0,3.0143508793085894,10.163975534814373,15,0.9504739636683385,1.2190455625809977,0.047523698183416924,False,60.95227812904989,0.0,59.05133020171321
14,2,11.817858863764837,13.55128723684565,41,2.1420103261201784,1.0009144345740137,0.10710051630600892,False,50.045721728700684,0.1,45.661701076460325
15,6,3.487328580099829,13.81875476204932,31,1.3549731102239773,1.0,0.06774865551119887,False,50.0,0.0,47.290053779552046
16,17,16.75420211814656,13.513802340785615,25,1.497002908129365,1.5,0.07485014540646825,False,75.0,0.0,72.00599418374127
17,9,5.158832554303112,13.19968092068358,36,0.7593696336431005,1.56771860655821,0.037968481682155025,False,78.3859303279105,0.1,76.7671910606243
18,19,10.59301156712013,4.837045818009034,28,2.6486232154348492,1.5259882794248423,0.13243116077174247,False,76.29941397124212,0.0,71.00216754037243
19,2,14.007156599455426,16.933222844766117,38,0.8727981614595671,1.078182287177731,0.04363990807297836,False,53.90911435888655,0.0,52.163518035967414
20,21,15.597510917152476,12.840632923085755,25,1.3383167036929267,1.0226288269498873,0.06691583518464633,True,51.131441347494366,0.1,-30.0
21,2,19.473276735106346,5.678419494749313,11,0.26240895579698353,1.084740143257664,0.013120447789849178,False,54.2370071628832,0.0,53.71218925128923
22,1,13.837903953853864,13.039225190052012,41,2.083936108847696,1.0734501064880044,0.10419680544238481,False,53.67250532440022,0.2,49.30463310670483
23,20,3.5764541844265763,7.329375691657198,14,1.7117389678229007,1.5,0.08558694839114504,False,75.0,0.0,71.5765220643542
24,2,13.152257846006867,11.366172066709431,45,1.4934912571834722,1.0,0.07467456285917361,False,50.0,0.0,47.01301748563306
25,13,11.797416951210877,19.57785716550018,3,1.6904711967128714,1.0,0.08452355983564358,False,50.0,0.0,46.61905760657426
26,7,12.622772519945258,15.896226070832968,20,1.0549759677658306,1.7734422159061742,0.05274879838829153,False,88.67211079530871,0.2,86.36215885977705
27,4,4.6037053648311055,9.983867597695046,15,1.5995269768478184,1.0093765430151946,0.07997634884239092,False,50.46882715075973,0.1,47.16977319706409
28,16,0.872075435088675,19.89101021594682,5,3.512356920299457,1.0,0.17561784601497288,False,50.0,0.2,42.775286159401084
29,8,19.061436940479062,6.615006093410274,11,1.023135608426347,1.5,0.051156780421317355,False,75.0,0.1,72.85372878314732
30,2,19.606631674320912,1.5069251201225642,33,0.6716572219223537,1.0,0.03358286109611768,False,50.0,0.0,48.656685556155296
31,2,3.3898549337218498,11.136025249167004,4,0.8650216239858728,1.0,0.04325108119929364,False,50.0,0.0,48.26995675202826
32,2,11.401223401787298,1.9435298754153707,27,1.208586957666909,1.0058208718446,0.060429347883345454,False,50.29104359223,0.0,47.87386967689618
33,16,16.97339589849349,2.7324266288405763,7,1.237782481705016,1.0,0.0618891240852508,False,50.0,0.0,47.52443503658997
34,6,5.871836885289867,16.187223109570272,44,1.0365255691403352,1.030444911987085,0.05182627845701676,False,51.52224559935426,0.0,49.44919446107359
35,6,10.030325893743992,15.965903579335503,17,0.471307976767308,1.0257207490980107,0.023565398838365403,False,51.28603745490054,0.0,50.343421501365924
36,13,15.91585338872202,17.800106836351326,12,1.4278610185238632,1.0,0.07139305092619316,False,50.0,0.0,47.14427796295227
37,22,13.440522705903987,6.563053349494639,9,0.9421609257280655,1.0,0.04710804628640328,False,50.0,0.1,48.01567814854387
38,21,11.816665211380215,0.6100049987809886,8,0.35922142702008614,1.0,0.017961071351004308,False,50.0,0.0,49.28155714595983
39,20,5.430858316394838,19.305036607815396,19,0.5850214529330799,1.5,0.029251072646653997,False,75.0,0.0,73.82995709413385
40,5,1.033634423372154,10.62709263136296,37,2.3146627756293148,1.2143944089325327,0.11573313878146574,False,60.71972044662664,0.0,56.09039489536801
41,12,19.39073734228318,14.291902083599041,1,1.2679281107574203,1.063391902231801,0.06339640553787101,True,53.16959511159005,0.0,-30.0
42,23,5.416645025241484,8.779428414112722,15,1.453115493832681,1.0,0.07265577469163405,False,50.0,0.2,46.89376901233464
43,0,8.847044594622089,4.795747183148064,28,1.746455337618272,1.1661301730608153,0.08732276688091362,False,58.306508653040765,0.1,54.71359797780422
44,7,18.692279946794194,12.765411876867008,43,1.6208329995414523,1.7134641248007407,0.08104164997707262,False,85.67320624003703,0.0,82.43154024095412
45,22,0.9543225538329758,11.320744209881525,37,0.6981711001116397,1.0226848821980785,0.03490855500558199,False,51.134244109903925,0.1,49.63790190968064
46,21,0.28786977259511737,2.3214528101383247,29,0.6411514103060755,1.0443819428146228,0.03205757051530377,False,52.219097140731144,0.0,50.93679432011899
47,15,16.13825954101559,6.926086421788016,35,0.4234619032995781,1.0774634053429337,0.02117309516497891,False,53.87317026714668,0.0,53.026246460547526
48,4,7.970094687947469,12.31700196104433,39,1.86251272835545,1.0,0.0931256364177725,False,50.0,0.1,46.174974543289096
49,18,10.062725171601754,17.129796823766444,17,1.1643441061978572,1.513074057728609,0.05821720530989286,False,75.65370288643045,0.1,73.22501467403474
50,3,12.317023287798277,18.877832091215144,3,0.8717946143728746,1.1172435782392243,0.043589730718643735,False,55.862178911961216,0.1,54.01858968321547
51,2,12.865764368847064,9.165057809830333,45,2.2196807167454375,1.053140001096033,0.11098403583727189,False,52.65700005480165,0.1,48.117638621310775
52,4,12.518793402031456,16.408536875425362,20,0.5227561740087231,1.0,0.026137808700436155,False,50.0,0.30000000000000004,48.654487651982556
53,11,2.015560027548533,0.36443651303099456,6,1.644479106795153,1.059131611692798,0.08222395533975765,False,52.9565805846399,0.0,49.667622371049596
54,2,6.7310842977745295,13.114452707614843,39,1.473456629888498,1.1554922676636603,0.0736728314944249,False,57.774613383183016,0.2,54.627700123406015
